License Type Name,County Name,Premises Name,DBA,Address,City,State,Zip,Neighborhood
GROCERY STORE BEER,NEW YORK,KING JAMES SUPERMARKET LTD,CHELSEA TERRACE SUPERMARKET,231 9TH AVENUE,NEW YORK,NY,10001,
GROCERY STORE BEER,NEW YORK,KEN HING FOOD MARKET INC,,247 GRAND STREET,NEW YORK,NY,10002,
GROCERY STORE BEER,NEW YORK,TIN DUC FOOD MARKET INC,,129 EAST BROADWAY,NEW YORK,NY,10002,
GROCERY STORE BEER,NEW YORK,GRAZYNA IWUC,MINI MARKET,109 1ST AVENUE,NEW YORK,NY,10003,
GROCERY STORE BEER,NEW YORK,CORNER GOURMET 2 INC,CORNER GOURMET,66 W BROADWAY,NEW YORK,NY,10007,
GROCERY STORE BEER,NEW YORK,VESEY STREET EDIBLES INC,,20 VESEY STREET,NEW YORK,NY,10007,
GROCERY STORE BEER,NEW YORK,LIME TREE MARKET INC,,400 E 9TH ST,NEW YORK,NY,10009,
"GROCERY BEER, WINE PROD",NEW YORK,SWEET OLIVE INC,345 PRODUCE & PLUS,345 1ST AVE,NEW YORK,NY,10010,
GROCERY STORE BEER,NEW YORK,A & R NEWS & CANDY CORP,,110 W HOUSTON STREET,NEW YORK,NY,10012,
GROCERY STORE BEER,NEW YORK,DEAN & DELUCA NEW YORK INC,DEAN & DELUCA,560 BROADWAY,NEW YORK,NY,10012,
GROCERY STORE BEER,NEW YORK,UNITED GROCERY & DELI CORP,,177 HUDSON STREET,NEW YORK,NY,10013,
GROCERY STORE BEER,NEW YORK,42 GRAND STREET INC,GRAND STREET DELI,42 GRAND STREET,NEW YORK,NY,10013,
GROCERY STORE BEER,NEW YORK,TRIBECA VILLAGE FARM INC,MORGANS MARKET,13 HUDSON STREET,NEW YORK,NY,10013,
GROCERY STORE BEER,NEW YORK,ERRAND GROCERY & DELI INC,,301 W 13TH STREET,NEW YORK,NY,10014,
GROCERY STORE BEER,NEW YORK,GNB DELI INC,,106 7TH AVE SOUTH,NEW YORK,NY,10014,
GROCERY STORE BEER,NEW YORK,W & J GROCERY CORP,SPYROS FOOD MART,11 EIGHTH AVE,NEW YORK,NY,10014,
GROCERY STORE BEER,NEW YORK,YOON HAE CHO,CHO'S GROCERY,37A BEDFORD STREET,NEW YORK,NY,10014,
"GROCERY BEER, WINE PROD",NEW YORK,C & P FOOD CORP,ANITAS DELI & GROCERY,180 LEXINGTON AVENUE,NEW YORK,NY,10016,
GROCERY STORE BEER,NEW YORK,M & N SMOKE & CARD INC,M & N SMOKE & GROCERY,129 E 28TH STREET,NEW YORK,NY,10016,
GROCERY STORE BEER,NEW YORK,BLUE FLOWERS GOURMET FOOD INC,BLUE FLOWERS GOURMET FOOD,5 E 47TH STREET,NEW YORK,NY,10017,
GROCERY STORE BEER,NEW YORK,M & A VARIETY STORE INC,,248 E 44TH STREET,NEW YORK,NY,10017,
GROCERY STORE BEER,NEW YORK,MIDLANTIC CONVENIENCE INC,,40 W 39TH STREET,NEW YORK,NY,10018,
GROCERY STORE BEER,NEW YORK,GEM CIRCLE FARM CORP,GEMS CIRCLE FARM,916 7TH AVENUE,NEW YORK,NY,10019,
GROCERY STORE BEER,NEW YORK,HADAR 94 FOOD INC,PAVILLION FOOD SHOP,500 E 77TH STREET,NEW YORK,NY,10021,
GROCERY STORE BEER,NEW YORK,K & A FOOD CORP,DEL BOVE DELI,878 LEXINGTON AVENUE,NEW YORK,NY,10021,
GROCERY STORE BEER,NEW YORK,K & B GROCERY INC,,1107 1ST AVENUE,NEW YORK,NY,10021,
GROCERY STORE BEER,NEW YORK,M & M FRUIT INC,SUNRISE DELI,1366 YORK AVENUE STORE #1,NEW YORK,NY,10021,
GROCERY STORE BEER,NEW YORK,MINI DELI INC,MINI DELI,1266 2ND AVENUE,NEW YORK,NY,10021,
GROCERY STORE BEER,NEW YORK,TALA FOOD MARKET INC,BUTTERFIELD MARKET,1114 LEXINGTON AVE,NEW YORK,NY,10021,
GROCERY STORE BEER,NEW YORK,809 LEX GROCERY INC,,809 LEXINGTON AVENUE,NEW YORK,NY,10021,
GROCERY STORE BEER,NEW YORK,DESSUK DELI INC,,133 E 55TH STREET,NEW YORK,NY,10022,
GROCERY STORE BEER,NEW YORK,PRAKASHCHANDRA M SHAH,HAPPY GROCERY,967 1ST AVENUE,NEW YORK,NY,10022,
GROCERY STORE BEER,NEW YORK,JOSEPHINE ZINGONE AS ADMX OF EST OF RALPH &,NICK ZINGONE INDV - DBA: ZINGONE BROS,471 COLUMBUS AVE,NEW YORK,NY,10024,
GROCERY STORE BEER,NEW YORK,2451 BROADWAY MARKET INC,BARZINI'S,2451 BROADWAY,NEW YORK,NY,10024,
GROCERY STORE BEER,NEW YORK,ABEYSENIAN GROCERY INC,,100 ST NICHOLAS AVE,NEW YORK,NY,10026,
GROCERY STORE BEER,NEW YORK,LORENZO A CORONA,CROWN GROCERY,2215A 7TH AVE,NEW YORK,NY,10027,
GROCERY STORE BEER,NEW YORK,NEOFYTOS DELI INC,STROKOS DELICATESSEN,1118 MADISON AVE,NEW YORK,NY,10028,
GROCERY STORE BEER,NEW YORK,H & F FRUIT CO INC,,1391 MADISON AVE,NEW YORK,NY,10029,
GROCERY STORE BEER,NEW YORK,JUAN MANUEL REYES,MANUELS GROCERY STORE,3675 BROADWAY,NEW YORK,NY,10031,
GROCERY STORE BEER,NEW YORK,LUNA BROTHERS INC,C TOWN,3632 BROADWAY,NEW YORK,NY,10031,
ON-PREMISES LIQUOR,NEW YORK,MONOLITH INC,RAVEN,194 AVE A,NEW YORK,NY,10009,
"GROCERY BEER, WINE PROD",NEW YORK,MIGUEL HENRIQUEZ,HENRIQUEZ GROCERY,500 W 135TH ST,NEW YORK,NY,10031,
"GROCERY BEER, WINE PROD",NEW YORK,4051 ABINADER GROCERY CORP,CHERRY TREE GOURMET STATION,4051 BROADWAY,NEW YORK,NY,10032,
GROCERY STORE BEER,NEW YORK,JIN HWAN RHEE,,804 W 181ST STREET,NEW YORK,NY,10033,
GROCERY STORE BEER,NEW YORK,SANTANA MARTE,MARTE GROCERY,362 AUDUBON AVENUE,NEW YORK,NY,10033,
"GROCERY BEER, WINE PROD",NEW YORK,"ORIGINAL SUPERMARKET CORP, THE",BRAVO,4261 BROADWAY,NEW YORK,NY,10033,
GROCERY STORE BEER,NEW YORK,VICTOR M GUZMAN,TERRACE GROCERY,64 68 WADSWORTH TERRACE,NEW YORK,NY,10040,
GROCERY STORE BEER,NEW YORK,GUSTAVO ENTERPRISES INC.,ACAPULCO GROCERY,571 W 207TH STREET,NEW YORK,NY,10034,
"GROCERY BEER, WINE PROD",NEW YORK,PRINCE DELI GROCERY CORP,THE PRINCE DELI GROCERY,1461 5TH AVE,NEW YORK,NY,10035,
GROCERY STORE BEER,NEW YORK,"43RD DELI CORP, THE",43RD ST DELI AND GROCERY,600 10TH AVENUE,NEW YORK,NY,10036,
GROCERY STORE BEER,NEW YORK,H J FRUIT AND VEGETABLE INC,,97 CATHERINE STREET,NEW YORK,NY,10038,
GROCERY STORE BEER,NEW YORK,MARIANO PEREZ,MI ESFUERZO,123 DYCKMAN ST,NEW YORK,NY,10040,
GROCERY STORE BEER,NEW YORK,NICHOLAS CONTE,,1692 YORK AVENUE,NEW YORK,NY,10128,
GROCERY STORE BEER,NEW YORK,FIRST ON FIRST DELI INC,THE FIRST ON FIRST DELI,1756 1ST AVENUE,NEW YORK,NY,10128,
"GROCERY BEER, WINE PROD",NEW YORK,A & BILL GROCERY CORP,BILLS GROCERY STORE,4 W 31ST STREET,NEW YORK,NY,10001,
"GROCERY BEER, WINE PROD",NEW YORK,MUSID K MUBAREZ & N A ALOMARI,801 DELI & GROCERY,801 AVENUE OF THE AMERICAS,NEW YORK,NY,10001,
"GROCERY BEER, WINE PROD",NEW YORK,RATAN NEWS CORP,,171 W 29TH STREET,NEW YORK,NY,10001,
"GROCERY BEER, WINE PROD",NEW YORK,AMIGO MINI MART INC,,118 DELANCEY STREET,NEW YORK,NY,10002,
"GROCERY BEER, WINE PROD",NEW YORK,FEDERICO A PICHARDO,CHINESE HISPANIC GROCERY STORE,130 ELDRIDGE STREET,NEW YORK,NY,10002,
"GROCERY BEER, WINE PROD",NEW YORK,FURCO FOOD CORP,,175 CLINTON STREET,NEW YORK,NY,10002,
"GROCERY BEER, WINE PROD",NEW YORK,MARIAM FOOD CORP,PIONEER,43 COLUMBIA STREET,NEW YORK,NY,10002,
"GROCERY BEER, WINE PROD",NEW YORK,TAN TIN HUNG CORP,,121 BOWERY,NEW YORK,NY,10002,
"GROCERY BEER, WINE PROD",NEW YORK,545 GRAND FOOD CORP,,545 GRAND STREET,NEW YORK,NY,10002,
"GROCERY BEER, WINE PROD",NEW YORK,COLLOSUS ENTERPRISES CORP,SILVER BULLET DELI,759 BROADWAY,NEW YORK,NY,10003,
"GROCERY BEER, WINE PROD",NEW YORK,DUAL SPECIALTY STORE INC,,91 1ST AVENUE,NEW YORK,NY,10003,
"GROCERY BEER, WINE PROD",NEW YORK,EAST VILLAGE FARM & GROCRY INC,EAST VILLAGE FARM & GROCERY,69 2ND AVENUE,NEW YORK,NY,10003,
"GROCERY BEER, WINE PROD",NEW YORK,GARDEN OF EDEN GOURMET INC,,7 E 14TH ST,NEW YORK,NY,10003,
"GROCERY CHAIN, WINE PROD",NEW YORK,NAMDOR INC,GRISTEDE'S # 82,25 UNIVERSITY PLACE,NEW YORK,NY,10003,
"GROCERY BEER, WINE PROD",NEW YORK,N M & A DELI CORP,,169 3RD AVENUE,NEW YORK,NY,10003,
"GROCERY BEER, WINE PROD",NEW YORK,PANYA INC OF N Y,SUNRISE MART,4 STUYVESANT STREET 2ND FL,NEW YORK,NY,10003,
"GROCERY BEER, WINE PROD",NEW YORK,PFW TRADING INC,,116 UNIVERSITY PLACE,NEW YORK,NY,10003,
"GROCERY BEER, WINE PROD",NEW YORK,C & B CANDY GROCERY INC,C & B GROCERY,248 E 14TH STREET,NEW YORK,NY,10003,
"GROCERY BEER, WINE PROD",NEW YORK,SMZ IMPEX INC,SMZ IMPEXZ,146 2ND AVENUE,NEW YORK,NY,10003,
"GROCERY BEER, WINE PROD",NEW YORK,JAN SERVICES 7TH AVENUE LLC,GOURMET GARAGE,117 7TH AVENUE SOUTH,NEW YORK,NY,10007,
"GROCERY BEER, WINE PROD",NEW YORK,BROTHERS CANDY & GROCERY STORE INC,,542 EAST 14TH STREET,NEW YORK,NY,10009,
"GROCERY BEER, WINE PROD",NEW YORK,BROS FOOD MARKET INC,,188 198 AVENUE C,NEW YORK,NY,10009,
"GROCERY BEER, WINE PROD",NEW YORK,F G W J FOOD CORPORATION,,409 427 E 14TH STREET,NEW YORK,NY,10009,
"GROCERY BEER, WINE PROD",NEW YORK,FUAD MOHAMED HASSAN,KAMARAN GROCERY,79 AVENUE A,NEW YORK,NY,10009,
"GROCERY CHAIN, WINE PROD",NEW YORK,MAN DELL FOOD STORES INC,KEY FOOD,52 AVENUE A,NEW YORK,NY,10009,
"GROCERY BEER, WINE PROD",NEW YORK,BEN ELHASEL DELI LLC,BENS DELI,32 AVENUE B,NEW YORK,NY,10009,
"GROCERY BEER, WINE PROD",NEW YORK,NEW CAROLINA GROCERY CORP,CAROLINA GROCERY,19 AVENUE D,NEW YORK,NY,10009,
"GROCERY BEER, WINE PROD",NEW YORK,STORE 173 FOOD CORP,,180 THIRD AVENUE,NEW YORK,NY,10009,
"GROCERY BEER, WINE PROD",NEW YORK,BROWN & WHITE MARKETS INC,MORTON WILLIAMS SUPERMARKET,311 E 23RD STREET,NEW YORK,NY,10010,
"GROCERY CHAIN, WINE PROD",NEW YORK,D AGOSTINO SUPERMARKETS INC,D AGOSTINO,341 3RD AVENUE,NEW YORK,NY,10010,
"GROCERY CHAIN, WINE PROD",NEW YORK,NAMDOR INC,GRISTEDE'S # 524,2610 FDR DR,NEW YORK,NY,10010,
"GROCERY CHAIN, WINE PROD",NEW YORK,NAMDOR INC,GRISTEDE'S # 518,355 1ST AVENUE,NEW YORK,NY,10010,
"GROCERY BEER, WINE PROD",NEW YORK,SILVER & WHITE MARKETS INC,MORTON WILLIAMS SUPERMARKET,278 PARK AVENUE SOUTH,NEW YORK,NY,10010,
"GROCERY BEER, WINE PROD",NEW YORK,SILVER STAR ENTERPRISES INC,,411 2ND AVENUE,NEW YORK,NY,10010,
"GROCERY BEER, WINE PROD",NEW YORK,ALAN RAM FARMS INC,TERRYS GOURMET,575 AVENUE OF THE AMERICAS,NEW YORK,NY,10011,
"GROCERY BEER, WINE PROD",NEW YORK,COSKUN BROTHERS SPECIALTY FOOD INC,GARDEN OF EDEN FARMERS MARKET,162 WEST 23RD STREET,NEW YORK,NY,10011,
"GROCERY BEER, WINE PROD",NEW YORK,J W G F FOOD CORP,ASSOCIATED FOOD STORE,255 W 14TH STREET,NEW YORK,NY,10011,
"GROCERY BEER, WINE PROD",NEW YORK,L & M DELICATESSEN CORP,,80 7TH AVENUE,NEW YORK,NY,10011,
"GROCERY BEER, WINE PROD",NEW YORK,SON KWAN GROCERY INC,BLUE VALLEY DELI,570 AVENUE OF THE AMERICAS,NEW YORK,NY,10011,
"GROCERY BEER, WINE PROD",NEW YORK,471 SIXTH AVENUE FOOD CORP,,471 6TH AVENUE,NEW YORK,NY,10011,
"GROCERY BEER, WINE PROD",NEW YORK,H & H KIM CORP,,172 PRINCE STREET,NEW YORK,NY,10012,
"GROCERY BEER, WINE PROD",NEW YORK,J W MARKET INC,,240 SULLIVAN STREET,NEW YORK,NY,10012,
