Name,Location,Neighborhood,Borough
Abe Lincoln,"East 135 Street, between Madison & 5 avenues",East Harlem,Manhattan
100% Playground,"Glenwood Road, East 100 & East 101 streets",,Brooklyn
174th Street Playground,"East 174 Street, Stratford Avenue, Bronx River Avenue",,Bronx
227 Street Playground,Bronx Boulevard between East 226 and East 228 streets,,Bronx
Abigail Playground,"East 156 Street, Tinton Avenue",,Bronx
Agnes Haywood Playground,"East 215 Street, Barnes Avenue, East 216 Street",,Bronx
Albemarle Park,Albermarle Road & Dahill Road,,Brooklyn
Albert J. Parham Playground,"Adelphi Street, Clermont, DeKalb & Willoughby avenues",,Brooklyn
Alexander Hamilton Playground,"Hamilton Place, West 140 to West 141 streets",Harlem,Manhattan
Alfred E. Smith Park,"Catherine Slip, Madison & South streets",Financial District,Manhattan
Alice Kornegay Triangle,"Lexington Avenue, East 128 & East 129 streets",East Harlem,Manhattan
Allerton Playground,"Anrow Avenue, Bouck Avenue, Throop Avenue, Streetedman Place, Allerton Avenue",,Bronx
Alley Park (PS 213),67 Avenue & 230 Street,,Queens
Alley Pond Park,"Entrance off Grand Central Parkway, includes athletic fields and picnic areas",,Queens
Alley Pond Park (Alley Athletic Field),"Grand Central Parkway, Winchester Boulevard, &Union Turnpike",,Queens
Alley Pond Park (Alley Pond Spring),"Springfield Boulevard, 73rd Avenue, 76th Avenue to tree line & natural area",,Queens
Alley Pond Park (Horatio Playground),Horatio Parkway and 50 Avenue,,Queens
Alstyne Playground,Alystine Avenue & 102 Street,,Queens
American Playground,"Noble, Franklin Milton Streets",,Brooklyn
Ampere Playground (PS 64),101 Avenue & 82 Street,,Queens
Andrews Playground,"49 Avenue, Vernon Boulevard, 5 Street",,Queens
Annandale Playground (PS 175),"Yellowstone Boulevard, 65 Road, 65 Avenue",,Queens
Annunciation Park,"Convent and Amsterdam Av, W 135 St",Morningside Heights,Manhattan
Arcilla Playground,"Teller Avenue, Park Avenue, Clay Avenue, East 64 Street",,Bronx
Arrochar Playground,"Sand Lane, Major Avenue, McFarland Avenue",,Staten Island
Arrow Community Garden,"35th Street, between 35th and 36th Avenue",,Queens
Asser Levy,Asser Levy Place & East 24-25 streets,Gramercy,Manhattan
Asser Levy Park,"Boardwalk, Surf, Sea Breeze avenues, Ocean Parkway",,Brooklyn
Asser Levy Park (Performance Space),"Boardwalk, Surf, Sea Breeze avenues, Ocean Parkway",,Brooklyn
Astoria Heights Playground,"30 Road, 45 to 46 streets",,Queens
Astoria Park (Charybdis Playground),Shore Boulevard opposite 23 Road,,Queens
Athens Sq (PS 17),"29 Street, 30 Street, 30 Avenue, Newtown Avenue",,Queens
Aubondale Playground,"170-171 streets, 33-35 avenues",,Queens
Audubon Playground,West 170 Street & Audubon Avenue,Harlem,Manhattan
Augustus St. Gaudens,"East 19 to East 20 streets, 2 Avenue",Gramercy,Manhattan
Bailey Playground,"Bailey Avenue, Weast 233-West 238 streets",,Bronx
Baisley Pond Park,"Rockaway Boulevard, 125th Avenue, & Baisley Boulevard South",,Queens
Baisley Pond Park,"150th Street, Rockaway Boulevard, Baisley Boulevard South, & North Conduit Avenue",,Queens
Baisley Pond Park (157th Street Playground),157 Street & 116 Avenue,,Queens
Bartlett Playground,Bartlett Street & Throop Avenue,,Brooklyn
Battery Park (Battery Gardens),"Battery Place, State & Whitehall streets",Financial District,Manhattan
Battery Park Comfort Station,"Battery Place, State & Whitehall streets",Financial District,Manhattan
Bay Terrace Playground (PS 169),23 Avenue & 212 Street,,Queens
Bayside Fields,"204 Street & 29 Avenue, Clearview Expressway",,Queens
Bayside Playground (JHS 180),Beach Channel Drive & Seaside Avenue,,Queens
Bayview Playground,Seaview Avenue & East 99 Street,,Brooklyn
Bedford Playground,"Bedford Avenue & South 9 Street, Division Avenue",,Brooklyn
Behagen Playground,"Tinton Avenue, East 165 Street, Union Avenue, East 166 Street",,Bronx
Bellaire Playground,"89 Avenue, 207 & 208 streets",,Queens
Belmont Playground,"Crotona Avenue, East 181 Street",,Bronx
Bendheim Playground,100th Street and Fifth Ave,Upper East Side,Manhattan
Bennett Park,"West 185 Street, Ft Washington Avenue",Harlem,Manhattan
Benson Playground,Bath Avenue between Bay 22 & Bay 23 streets,,Brooklyn
Bensonhurst Park,"Gravesend Bay, 21 & Cropsey avenues, Bay Parkway",,Brooklyn
Betsy Head Playground,"Livonia, Dumont, Hopkinson, Blake avenues, Strauss Street",,Brooklyn
Betsy Head Playground (Administration Building),"Livonia, Dumont, Hopkinson, Blake avenues, Strauss Street",,Brooklyn
Big Bush Park,"61 Street, north and south of Brooklyn-Queens Expressway",,Queens
Bildersee Playground,Flatlands Avenue between East 81 & East 82 streets,,Brooklyn
Bill Brown Memorial Playground,"Bedford Avenue, Avenue X to Avenue Y, E 24 Street",,Brooklyn
Bleecker Playground,Hudson & West 11 streets,Greenwich Village,Manhattan
Blood Root Valley (Greenbelt Nature Center),"Rockland, Manor and Brielle avenues, Forest Hill Road",,Staten Island
Blood Root Valley (Park House),"Rockland, Manor and Brielle avenues, Forest Hill Road",,Staten Island
Bloomingdale Park,"Richmond Pkwy, Bloomingdale Rd., Lenevar Ave",,Staten Island
Bloomingdale Playground,"Amsterdam Avenue, West 104 & West 105 streets",Upper West Side,Manhattan
Blue Heron Park Preserve (Nature Center),Poillon Avenue,,Staten Island
Bowne Park,"159 Street, 29 Avenue, 155 Street, 32 Avenue",,Queens
Bowne Playground,Union Street and Sanford Avenue,,Queens
Breininger Park,Braddock Avenue & 240 Street,,Queens
Breukelen Playground,Louisiana & Flatlands Avenue,,Brooklyn
Brevoort Playground,Ralph Avenue & Chauncy Street,,Brooklyn
Bridge Park 2,Bridge & Prospect streets,,Brooklyn
Broadway Malls,"Broadway, Columbus Circle to West 110 Street",Upper West Side,Manhattan
Bronx Park (Ben Abrams Playground),Lydig Avenue & Bronx Park East,,Bronx
Bronx Park (Brady Playground),Bronx Park East between Bronxdale Avenue and Unionport Road,,Bronx
Bronx Park (French Charley's Playground),East 204 Street & W/S Bronx Park,,Bronx
Bronx Park (Olinville Playground),East 219 Street & Bronx River Parkway,,Bronx
Bronx Park (Ranaqua),"Southern Boulevard, Webster, Burke avenues, Bronx Park East, 180 Street",,Bronx
Bronx Park (River Park Playground),"East 180th Street, Boston Road",,Bronx
Bronx Park (Rosewood Playground),Bronx River Parkway & Rosewood Street,,Bronx
Bronx Park (Waring Playground),Bronx Park East between Waring Avenure and Thwaites Place,,Bronx
Bronx River Parkway (Parque de los Ninos),"Bronx River Parkway, Bronx Park, Westchester/NYC City Line.",,Bronx
Brookville Park,"Conduit Avenue, Brookville Boulevard, 144th Avenue, 233rd Street",,Queens
Brower Park,"Brooklyn, St. Mark's, Kingston avenues, Park Place",,Brooklyn
