Zip Code,Dog Name,Animal Gender
11210,HEATHER,F
10011,RAFFLES,M
10014,DIEGOO,M
11361,HEIDI,F
10021,SAM,M
11372,MISTY,F
10312,ROCKS,M
11204,BOSCO,M
10465,POKIE,M
10314,SAMMY,M
10014,BETH,F
10029,BUSTER,M
10001,MAXY,F
10473,TANKER,M
11362,PEPE,M
11360,PENELOPE,F
10306,SPETZLE,F
11362,BONNIE,F
11362,BLUE,M
10466,GIZMO,M
10314,GOVERNESS,F
10034,JASMINEJAZ,F
10028,SHADOW,F
10011,MINNIE,F
10306,FENDI,F
10303,MISSY,F
11204,LUCKY,M
10463,MAXWELL,M
11226,SNOW,M
10016,SAMANTHA,F
11234,PENNY,F
11103,MOOCHIE,M
11209,LUCKY,M
10309,SAM,M
10465,LARA,F
11379,MANGO,F
10473,LEO,M
10308,CHRISSY,F
10011,CAGNEY,F
11373,JACKIE,F
11235,CHLOE,F
11237,TANK,M
11421,BLACKIE,M
10031,ROSIE,F
10314,DEVILMAN,M
10312,BUDDY,M
10309,DOMINO,M
11374,NICKI,F
11230,PATCHES,M
11366,BABY,F
11370,ANGEL,F
10306,TAILER,M
10023,MOZART,M
10023,NIKKI,F
11218,PAPPY,M
10469,SANDY,F
10462,DANCER,F
11426,MEL,M
11223,SNOWBALL,M
10312,PENELOPE,F
10314,TIFFANY,F
10025,CASSIS,F
11235,KATRINKA,F
10022,KAYLEE,F
11105,NICO,F
11210,SUZIE,F
11218,WEE,M
10024,POPEYE,F
10468,ANGELA,F
11364,BAHSHEE,M
11230,LUCKY,F
11215,PEPPER,F
10036,BOGART,M
11375,CHELSEA,F
11222,CHILI,M
11201,SWEETIE,F
11208,KIKU,M
10463,TAYLOR,F
10453,BUZZY,M
11414,BUFFY,F
11228,BRANDY,M
10022,DUKE,M
11365,COCOA,F
11102,DONNA,F
10312,DOLLY,F
10306,LULU,F
11374,MELINA,F
11210,SYMBA,F
11103,MAX,M
11234,STORMY,F
11378,FUDGE,F
10014,RUBY,F
10312,LUCKY,M
11357,SANDY,F
10034,TSY,M
