OBJECTID,the_geom,Boro,Type,Provider,Name,Location,Lat,Long_,X,Y,Location_T,Remarks,City,SSID,SourceID
1125,POINT (-73.88110000007943 40.8176999997446),BX,Free,AT&T,Hunts Point Riverside Park,Near Performance Stage,40.8177,-73.8811,1017160.47452,237209.638491,Outdoor,,Bronx,attwifi,
1203,POINT (-73.87134900039901 40.87300999968177),BX,Limited Free,Cablevision,Bronx Park,Near Burke Ave,40.87301,-73.871349,1019829.86791,257364.949675,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1204,POINT (-73.8704719994807 40.85397999975271),BX,Limited Free,Cablevision,Bronx Park,NYC Parks Bronx Headquarters,40.85398,-73.870472,1020082.66407,250431.946126,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1205,POINT (-73.86554000053121 40.874549999602436),BX,Limited Free,Cablevision,Gun Hill Playground,Cruger Av 1/P/S/O Magenta St,40.87455,-73.86554,1021435.54912,257928.44464,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1206,POINT (-73.8650050004192 40.87477899965691),BX,Limited Free,Cablevision,Gun Hill Playground,HOLLAND AV 1 P/S/O MAGENTA AV,40.874779,-73.865005,1021583.37721,258012.10587,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1207,POINT (-73.92269999988312 40.828467999620024),BX,Limited Free,Cablevision,Joyce Kilmer Park,Top center,40.828468,-73.9227,1005642.50212,241119.915586,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1208,POINT (-73.92307499993309 40.82805700044305),BX,Limited Free,Cablevision,Joyce Kilmer Park,Left center,40.828057,-73.923075,1005538.85372,240970.081924,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1209,POINT (-73.92267700046092 40.827830999880355),BX,Limited Free,Cablevision,Joyce Kilmer Park,right center,40.827831,-73.922677,1005649.07215,240887.838856,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1210,POINT (-73.92300799964222 40.82744099973911),BX,Limited Free,Cablevision,Joyce Kilmer Park,bottom right of fountain,40.827441,-73.923008,1005557.5931,240745.666947,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1211,POINT (-73.9236309994967 40.827562999794345),BX,Limited Free,Cablevision,Joyce Kilmer Park,bottom left  of fountain,40.827563,-73.923631,1005385.13868,240789.965067,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
